SURVEY ROUND,SITE NAME,STATE,LGA,WARD,LATITUDE,LONGITUDE,SITE MANAGEMENT AGENCY (SMA),SMA TYPE,REGISTRATION ACTIVITY,SUPPORT WASH,SUPPORT HEALTH,SUPPORT SHELTER/NFI,SUPPORT FOOD,SUPPORT PROTECTION,SUPPORT EDUCATION,SUPPORT LIVELIHOOD,SITE CLASSIFICATION,SITE TYPE,LAND OWNERSHIP,COMMON SHELTER TYPE,NO OF HOUSEHOLDS,INFANTS MALE,INFANTS FEMALE,CHILDREN MALE,CHILDREN FEMALE,YOUTH MALE,YOUTH FEMALE,ADULT MALE,ADULT FEMALE,ELDERLY MALE,ELDERLY FEMALE,TOTAL NUMBER OF IDPS,PREVIOUSLY BEEN DISPLACED,INTENDED RETURN AREA,WHY NOT RETURN,NO SHELTER,TENTS,MAKESHIFT,INDOORS,ACCESS ELECTRICITY,ACCESS SAFE COOKING,HAVE PRIVATE AREAS,HAVE MOSQUITO NETS,MOST NEEDED NFI,WATER SOURCE LOCATION,DRINKING WATER SOURCE,WATER CONSUMPTION,DRINKING WATER POTABLE,DRINKING WATER QUALITY COMPLAINTS,LATRINE CONDITION,FUNCTIONING TOILET,GARBAGE DISPOSAL,SOLID WASTE PROBLEM,HAND WASHING STATIONS,HYGIENE PROMOTION CAMPAIGN,OPEN DEFECATION,ACCESS TO FOOD,ACCESS TO MARKET,DISTRIBUTION FREQUENCY,OBTAINING FOOD,MALNUTRITION SCREENING,MOST PREVALENT HEALTH PROBLEM,ACCESS TO MEDICINE,ACCESS TO HEALTH FACILITY,LOCATION HEALTH FACILITY,HEALTH FACILITIES PROVIDER,ACCESS TO EDUCATION,EDUCATION LOCATION,ATTENDING SCHOOL,MAJORITY OCCUPATION,ACCESS TO INCOME,LIVESTOCK,CULTIVATION,SOURCE OF INFORMATION FOR MOST RESIDENTS,MAIN TOPIC IDP'S IS REQUESTING INFORMATION,SERIOUS PROBLEM DUE TO LACK OF INFORMATION
14,DILLI,ADAMAWA,DEMSA,DILLI,9.53481,12.16088,No,,No,Yes,Yes,Yes,Yes,Yes,No,No,Host Communities,Host Communities,Ancestral,Host family house,3,0,2,2,6,2,3,1,2,0,0,18,Yes,Place of origin,Lack of safety,<25%,<25%,<25%,<75%,None,<25%,<50%,<50%,Kitchen sets,On-site (<10 mn),Hand pumps,<5 ltr,No,Yes,Not so good (Not hygienic),0,Burning,Yes,Yes but no soap/water inside,No,Yes,"Yes, on site",Yes,Once a month,Cultivated,No,Fever,No,Yes,On-site (>3 km),Government,Yes,Off-site,<50%,Farming,No,Yes,Yes,Families/Friends,Safety and Security,Yes
14,DONG,ADAMAWA,DEMSA,DONG,9.30401,11.91632,No,,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Host Communities,Host Communities,Ancestral,Host family house,4,0,2,2,3,4,5,4,2,1,1,24,Yes,Place of origin,Lack of safety,<25%,<25%,<25%,<75%,None,<50%,<50%,<75%,Blankets/Mats,On-site (<10 mn),Hand pumps,<5 ltr,No,Yes,Non usable,0,Burning,Yes,Yes but no soap/water inside,No,Yes,No,Yes,Never,Cultivated,No,Diarrhea,No,Yes,On-site (>3 km),Government,Yes,On-site,<50%,Farming,Yes,Yes,Yes,Families/Friends,Safety and Security,Yes
14,MAR. DAKANTA,ADAMAWA,DEMSA,DWAM,9.4523,12.06563,No,,No,Yes,No,Yes,No,Yes,No,Yes,Host Communities,Host Communities,Private Building,Host family house,3,0,2,2,0,2,2,2,2,1,1,14,Yes,Place of origin,Lack of safety,<25%,<25%,<25%,<75%,None,<50%,<50%,<50%,Blankets/Mats,On-site (<10 mn),Hand pumps,5 - 10 ltr,No,Yes,Non usable,0,Burning,Yes,Yes but no soap/water inside,No,Yes,No,Yes,Never,Cultivated,No,Diarrhea,No,Yes,Off-site (<3 km),Government,Yes,Off-site,<50%,Farming,Yes,Yes,Yes,Families/Friends,Safety and Security,Yes
14,DWAM,ADAMAWA,DEMSA,DWAM,9.46353,12.08938,No,,No,Yes,Yes,Yes,No,Yes,No,No,Host Communities,Host Communities,Public/Government,Government building,4,2,3,1,2,2,2,6,5,2,3,28,Yes,Place of origin,Lack of safety,<25%,<25%,<25%,<75%,None,<50%,<25%,<50%,Kitchen sets,On-site (<10 mn),Hand pumps,5 - 10 ltr,No,Yes,Non usable,0,Burning,Yes,Yes but no soap/water inside,No,Yes,No,Yes,Never,Cultivated,No,Diarrhea,No,Yes,On-site (<3 km),Government,Yes,Off-site,<50%,Farming,Yes,Yes,Yes,Families/Friends,Safety and Security,Yes
14,GWAMBA,ADAMAWA,DEMSA,GWAMBA,9.42644,12.1066,No,,No,Yes,Yes,Yes,No,Yes,No,No,Host Communities,Host Communities,Ancestral,Host family house,6,4,6,2,3,2,4,6,2,2,5,36,Yes,Place of origin,Lack of safety,<25%,<25%,<25%,<75%,None,<25%,<50%,<75%,Kitchen sets,On-site (<10 mn),Hand pumps,10 - 15 ltr,No,Yes,Not so good (Not hygienic),0,No waste disposal system,Yes,Yes but no soap/water inside,No,Yes,No,Yes,Never,Cultivated,No,Fever,Yes,Yes,On-site (>3 km),Government,Yes,Off-site,>75%,Farming,Yes,Yes,Yes,Families/Friends,Safety and Security,Yes
14,BAJIYE II,ADAMAWA,DEMSA,KPASHAM,9.30222,11.76264,No,,No,Yes,Yes,Yes,No,Yes,No,Yes,Host Communities,Host Communities,Private Building,Bunk houses,4,3,2,2,3,1,2,5,2,0,0,20,Yes,Place of origin,Lack of safety,<25%,<25%,<25%,<75%,None,<50%,<50%,<50%,Kitchen sets,On-site (<10 mn),Hand pumps,5 - 10 ltr,No,Yes,Non usable,0,No waste disposal system,Yes,Yes but no soap/water inside,No,Yes,No,No,Never,Cultivated,No,Fever,Yes,Yes,On-site (<3 km),Government,Yes,Off-site,<75%,Farming,Yes,Yes,Yes,Families/Friends,Safety and Security,Yes
14,BAJIYE I,ADAMAWA,DEMSA,KPASHAM,9.30101,11.76278,No,,No,Yes,Yes,Yes,No,Yes,No,No,Host Communities,Host Communities,Ancestral,Host family house,4,4,4,4,2,2,2,6,4,0,0,28,Yes,Place of origin,Lack of safety,<25%,<25%,<25%,<75%,None,<50%,<50%,<50%,Kitchen sets,On-site (<10 mn),Hand pumps,10 - 15 ltr,No,Yes,Non usable,0,Burning,Yes,Yes but no soap/water inside,No,Yes,No,No,Never,Cultivated,No,Fever,Yes,Yes,On-site (<3 km),Government,Yes,Off-site,<75%,Farming,No,No,Yes,Families/Friends,Safety and Security,Yes
14,MBULA KULI,ADAMAWA,DEMSA,MBULA KULI,9.51107,12.19291,No,,No,Yes,Yes,Yes,No,No,No,No,Host Communities,Host Communities,Ancestral,Host family house,2,1,1,1,0,2,1,2,2,0,0,10,Yes,Place of origin,Lack of safety,<25%,<25%,<25%,<75%,None,<50%,<25%,<25%,Kitchen sets,On-site (>10 mn),Hand pumps,10 - 15 ltr,No,Yes,Non usable,0,Burning,No,Yes but no soap/water inside,No,Yes,No,No,Never,Cultivated,No,Fever,Yes,Yes,Mobile clinic,Government,Yes,Off-site,<50%,Farming,Yes,Yes,Yes,Families/Friends,Safety and Security,Yes
14,BAJIFANG,ADAMAWA,DEMSA,MBULA KULI,9.51307,12.18868,No,,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Host Communities,Host Communities,Ancestral,Host family house,2,1,1,1,1,2,2,3,3,0,0,14,No,Place of origin,Lack of safety,<25%,<25%,<25%,<75%,None,<50%,<50%,<50%,Mosquito nets,On-site (<10 mn),Hand pumps,10 - 15 ltr,No,Yes,Non usable,0,Burning,Yes,Yes but no soap/water inside,Yes,Yes,No,Yes,Never,Cultivated,No,Fever,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<50%,Farming,Yes,Yes,Yes,Families/Friends,Safety and Security,Yes
14,NASARAWO 'A',ADAMAWA,DEMSA,NASSARAWO DEMSA,9.27317,12.02256,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Host Communities,Host Communities,Ancestral,Host family house,12,2,4,3,3,10,14,12,15,2,2,67,No,Place of origin,Lack of safety,<25%,<25%,<25%,<75%,<50%,<50%,None,<50%,Kitchen sets,On-site (<10 mn),Hand pumps,5 - 10 ltr,No,Yes,Non usable,0,Burning,Yes,Yes but no soap/water inside,No,Yes,"Yes, on site",Yes,Once a week,Cultivated,No,Fever,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<50%,Petty trade,Yes,Yes,Yes,Families/Friends,Safety and Security,Yes
14,NASARAWO B,ADAMAWA,DEMSA,NASSARAWO DEMSA,9.45564,12.04351,No,,No,Yes,Yes,Yes,No,Yes,No,Yes,Host Communities,Host Communities,Ancestral,Host family house,6,4,6,6,4,7,3,9,2,0,0,41,Yes,Place of origin,Lack of safety,<25%,<25%,<25%,<75%,None,<50%,<50%,<50%,Kitchen sets,On-site (<10 mn),Hand pumps,10 - 15 ltr,No,Yes,Non usable,0,Burning,Yes,Yes but no soap/water inside,No,Yes,No,No,Never,Cultivated,No,Fever,Yes,Yes,On-site (>3 km),Government,Yes,Off-site,<75%,Farming,Yes,Yes,Yes,Families/Friends,Safety and Security,Yes
14,ANGUWAN TIKE,ADAMAWA,FUFORE,BETI,9.06542,12.66419,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Host Communities,Host Communities,Private Building,Individual house,5,2,4,5,8,3,2,6,8,1,0,39,Yes,Place of origin,House damaged/destroyed,None,None,<50%,<75%,None,<25%,<25%,<75%,Plastic sheeting,On-site (<10 mn),Piped water supply,10 - 15 ltr,Yes,No,Not so good (Not hygienic),5,Burning,No,Yes but no soap/water inside,Yes,Yes,"Yes, on site",Yes,Irregular,Cash,No,Fever,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<50%,Farming,Yes,No,Yes,Radio/news,Situation in areas of origin,Yes
14,PANIRE,ADAMAWA,FUFORE,BETI,9.07023,12.66263,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Host Communities,Host Communities,Private Building,Host family house,3,0,0,1,2,1,1,3,4,0,0,12,Yes,Place of origin,House damaged/destroyed,None,None,<50%,<75%,None,<25%,<25%,<75%,Plastic sheeting,On-site (<10 mn),Piped water supply,10 - 15 ltr,Yes,No,Not so good (Not hygienic),3,Burning,No,Yes but no soap/water inside,Yes,Yes,"Yes, on site",Yes,Irregular,Cash,No,Fever,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<50%,Farming,Yes,Yes,Yes,Mobile phone,Situation in areas of origin,Yes
14,UNGUWAN WATIUJE,ADAMAWA,FUFORE,BETI,9.07656,12.61626,No,,Yes,No,No,No,No,Yes,No,Yes,Host Communities,Host Communities,Private Building,Self-made tents,16,0,0,1,3,7,18,9,27,0,1,66,Yes,Place of origin,House damaged/destroyed,None,<25%,>75%,None,None,None,<25%,<50%,Plastic sheeting,Off-site (>10 mn),Protected well,5 - 10 ltr,No,Yes,Not so good (Not hygienic),0,Burning,No,Yes but no soap/water inside,No,Yes,"Yes, off site",No,Irregular,Cultivated,No,Cough,No,No,None,None,No,Unknown,None,Farming,Yes,Yes,Yes,Radio/news,Situation in areas of origin,Yes
14,BABAL,ADAMAWA,FUFORE,FARANG,9.56114,12.77957,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Host Communities,Host Communities,Private Building,Host family house,6,0,2,2,5,6,4,7,8,1,0,35,Yes,Place of origin,Lack of safety,None,None,<25%,>75%,<25%,<50%,<25%,<50%,Blankets/Mats,On-site (<10 mn),Piped water supply,10 - 15 ltr,No,Yes,Not so good (Not hygienic),4,Burning,Yes,Yes but no soap/water inside,No,Yes,"Yes, on site",Yes,Irregular,Cash,No,Malaria,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<25%,Farming,Yes,Yes,Yes,Mobile phone,Situation in areas of origin,Yes
14,NASARAWO,ADAMAWA,FUFORE,FARANG,9.34992,12.78457,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Host Communities,Host Communities,Private Building,Host family house,9,0,1,3,5,6,7,10,15,0,0,47,Yes,Place of origin,Lack of safety,None,None,<25%,>75%,<25%,<25%,<25%,<50%,Blankets/Mats,On-site (<10 mn),Piped water supply,5 - 10 ltr,No,Yes,Not so good (Not hygienic),9,Burning,Yes,Yes but no soap/water inside,No,Yes,"Yes, on site",Yes,Irregular,Cash,No,Malaria,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<25%,Farming,Yes,Yes,Yes,Mobile phone,Situation in areas of origin,Yes
14,YELWA,ADAMAWA,FUFORE,FARANG,9.55226,12.78224,No,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Host Communities,Host Communities,Private Building,Host family house,4,1,0,2,2,3,4,2,7,0,0,21,Yes,Place of origin,Lack of safety,None,None,<25%,>75%,<25%,<25%,<25%,<50%,Bucket/Jerry Can,On-site (<10 mn),Piped water supply,5 - 10 ltr,No,Yes,Not so good (Not hygienic),3,Burning,Yes,Yes but no soap/water inside,No,Yes,"Yes, on site",Yes,Irregular,Cash,No,Malaria,Yes,Yes,On-site (<3 km),Government,Yes,Off-site,<25%,Farming,Yes,Yes,Yes,Mobile phone,Situation in areas of origin,Yes
14,GASHIGA,ADAMAWA,FUFORE,FARANG,9.56551,12.78572,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Host Communities,Host Communities,Private Building,Host family house,5,1,2,8,6,5,8,9,9,0,0,48,Yes,Place of origin,Lack of safety,None,None,<50%,<75%,<25%,<50%,<25%,<50%,Blankets/Mats,On-site (<10 mn),Piped water supply,5 - 10 ltr,No,Yes,Not so good (Not hygienic),3,Burning,Yes,Yes but no soap/water inside,No,Yes,"Yes, on site",Yes,Irregular,Cash,No,Malaria,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<25%,Farming,Yes,Yes,Yes,Mobile phone,Situation in areas of origin,Yes
14,FATTUDE LAWAN,ADAMAWA,FUFORE,FARANG,9.5577,12.78216,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Host Communities,Host Communities,Private Building,Host family house,4,0,0,2,3,1,2,3,4,0,0,15,Yes,Place of origin,Lack of safety,None,None,<25%,>75%,<25%,<50%,<25%,<50%,Blankets/Mats,On-site (<10 mn),Piped water supply,5 - 10 ltr,No,Yes,Not so good (Not hygienic),4,Burning,Yes,Yes but no soap/water inside,No,Yes,"Yes, on site",Yes,Irregular,Cash,No,Malaria,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<50%,Farming,Yes,Yes,Yes,Mobile phone,Situation in areas of origin,Yes
14,DADIN KOWA,ADAMAWA,FUFORE,FARANG,9.54466,12.76262,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Host Communities,Host Communities,Private Building,Host family house,5,0,1,3,5,2,4,6,7,0,0,28,Yes,Place of origin,Lack of safety,None,None,<25%,>75%,<25%,<50%,<25%,<50%,Blankets/Mats,On-site (<10 mn),Piped water supply,5 - 10 ltr,No,Yes,Not so good (Not hygienic),5,Burning,Yes,Yes but no soap/water inside,No,Yes,"Yes, on site",Yes,Irregular,Cash,No,Malaria,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<50%,Farming,Yes,Yes,Yes,Mobile phone,Situation in areas of origin,Yes
14,WURO AHI,ADAMAWA,FUFORE,FUFORE,9.21469,12.6625,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Host Communities,Host Communities,Private Building,Host family house,52,11,19,27,31,41,34,18,64,5,8,258,Yes,Place of origin,House damaged/destroyed,None,None,<50%,<75%,<25%,<25%,<25%,<75%,Blankets/Mats,On-site (<10 mn),Piped water supply,10 - 15 ltr,Yes,No,Not so good (Not hygienic),48,Burning,Yes,Yes but no soap/water inside,Yes,Yes,"Yes, on site",Yes,Irregular,Cash,No,Fever,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<50%,Farming,Yes,Yes,Yes,Mobile phone,Situation in areas of origin,Yes
14,MARGIREI,ADAMAWA,FUFORE,FUFORE,9.21895,12.64881,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Host Communities,Host Communities,Private Building,Host family house,33,0,0,13,15,27,30,35,42,0,0,162,Yes,Place of origin,House damaged/destroyed,None,None,<75%,<50%,<25%,<25%,<25%,<25%,Blankets/Mats,On-site (<10 mn),Piped water supply,10 - 15 ltr,Yes,No,Not so good (Not hygienic),20,Burning,No,Yes but no soap/water inside,Yes,Yes,"Yes, on site",Yes,Irregular,Cash,No,Fever,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<50%,Farming,Yes,Yes,Yes,Radio/news,Situation in areas of origin,Yes
14,WURO KESUM,ADAMAWA,FUFORE,GURIN,9.08661,12.87783,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Host Communities,Host Communities,Private Building,Host family house,14,1,1,7,12,10,13,12,14,1,0,71,Yes,Place of origin,Lack of safety,None,<25%,<25%,<75%,<25%,<25%,<25%,<50%,Blankets/Mats,On-site (<10 mn),Piped water supply,10 - 15 ltr,No,Yes,Not so good (Not hygienic),4,Burning,Yes,Yes but no soap/water inside,No,Yes,"Yes, on site",Yes,Irregular,Cash,No,Malaria,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<50%,Farming,Yes,Yes,Yes,Mobile phone,Situation in areas of origin,No
14,HIRNANGE,ADAMAWA,FUFORE,GURIN,9.11014,12.88028,No,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Host Communities,Host Communities,Private Building,Self-made tents,13,2,4,9,12,14,16,5,7,0,0,69,Yes,Place of origin,Lack of safety,None,None,<75%,<50%,<25%,<50%,<25%,<50%,Kitchen sets,On-site (<10 mn),Hand pumps,5 - 10 ltr,No,Yes,Not so good (Not hygienic),13,Burning,Yes,Yes but no soap/water inside,No,Yes,"Yes, on site",Yes,Irregular,Cash,No,Malaria,Yes,Yes,On-site (<3 km),Government,Yes,Off-site,<50%,Farming,Yes,Yes,Yes,Mobile phone,Situation in areas of origin,Yes
14,WURO YOLDE,ADAMAWA,FUFORE,GURIN,9.11392,12.86973,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Host Communities,Host Communities,Private Building,Host family house,8,2,3,4,3,5,5,6,10,0,0,38,Yes,Place of origin,Lack of safety,None,None,<50%,<75%,<25%,<25%,<25%,<50%,Bucket/Jerry Can,On-site (<10 mn),Piped water supply,10 - 15 ltr,No,Yes,Not so good (Not hygienic),8,Burning,Yes,Yes but no soap/water inside,No,Yes,"Yes, on site",Yes,Irregular,Cash,No,Malaria,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<50%,Farming,Yes,Yes,Yes,Mobile phone,Situation in areas of origin,Yes
