SURVEY ROUND,SITE ID,SITE NAME,STATE,LGA,WARD,STATUS,LATITUDE,LONGITUDE,SITE MANAGEMENT AGENCY (SMA),SMA TYPE,REGISTRATION ACTIVITY,SUPPORT WASH,SUPPORT HEALTH,SUPPORT SHELTER/NFI,SUPPORT FOOD,SUPPORT PROTECTION,SUPPORT EDUCATION,SUPPORT LIVELIHOOD,SITE CLASSIFICATION,SITE TYPE,LAND OWNERSHIP,COMMON SHELTER TYPE,NO OF HOUSEHOLDS,INFANTS MALE,INFANTS FEMALE,CHILDREN MALE,CHILDREN FEMALE,YOUTH MALE,YOUTH FEMALE,ADULT MALE,ADULT FEMALE,ELDERLY MALE,ELDERLY FEMALE,TOTAL NUMBER OF IDPS,PREVIOUSLY BEEN DISPLACED,INTENDED RETURN AREA,WHY NOT RETURN,NO SHELTER,TENTS,MAKESHIFT,INDOORS,ACCESS ELECTRICITY,ACCESS SAFE COOKING,HAVE PRIVATE AREAS,HAVE MOSQUITO NETS,MOST NEEDED NFI,WATER SOURCE LOCATION,DRINKING WATER SOURCE,WATER CONSUMPTION,DRINKING WATER POTABLE,DRINKING WATER QUALITY COMPLAINTS,LATRINE CONDITION,FUNCTIONING TOILET,GARBAGE DISPOSAL,SOLID WASTE PROBLEM,HAND WASHING STATIONS,HYGIENE PROMOTION CAMPAIGN,OPEN DEFECATION,ACCESS TO FOOD,ACCESS TO MARKET,DISTRIBUTION FREQUENCY,OBTAINING FOOD,MALNUTRITION SCREENING,MOST PREVALENT HEALTH PROBLEM,ACCESS TO MEDICINE,ACCESS TO HEALTH FACILITY,LOCATION HEALTH FACILITY,HEALTH FACILITIES PROVIDER,ACCESS TO EDUCATION,EDUCATION LOCATION,ATTENDING SCHOOL,MAJORITY OCCUPATION,ACCESS TO INCOME,LIVESTOCK,CULTIVATION,SOURCE OF INFORMATION FOR MOST RESIDENTS,MAIN TOPIC IDP'S ARE REQUESTING INFORMATION,SERIOUS PROBLEM DUE TO LACK OF INFORMATION
14,AD_S036,UNGWAN ABUJA,ADAMAWA,GIREI,GIREI I,INFORMAL,9.35209,12.51223,No,NULL,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Spontaneous,Collective Settlement/Centre,Public/Government,Community center,20,1,1,15,11,26,27,22,34,0,1,138,Yes,Place of origin,Lack of safety,None,<25%,<50%,<25%,<25%,None,None,<25%,Blankets/Mats,On-site (<10 mn),Hand pumps,>15 ltr,Yes,No,Not so good (Not hygienic),0,Garbage pit,Yes,Yes but no soap/water inside,No,Yes,"Yes, on site",Yes,Irregular,Host community donation,No,Malaria,No,Yes,On-site (<3 km),Government,Yes,Off-site,<25%,Farming,Yes,Yes,Yes,Families/Friends,Safety and Security,No
14,AD_S005,EYN CHURCH VINIKILANG,ADAMAWA,GIREI,MODIRE/ VINIKILANG,INFORMAL,9.30329,12.47378,No,NULL,Yes,Yes,No,No,Yes,Yes,No,Yes,Spontaneous,Camp,Private Building,Self-made tents,15,2,3,3,4,5,7,16,18,2,2,62,No,Place of origin,Lack of safety,None,None,>75%,None,None,<25%,None,<50%,Kitchen sets,On-site (<10 mn),Hand pumps,10 - 15 ltr,Yes,No,Not so good (Not hygienic),0,No waste disposal system,Yes,Yes,No,Yes,"Yes, on site",Yes,Once a month,Cash,No,Malaria,No,Yes,Off-site (<3 km),Government,Yes,Off-site,<25%,Farming,Yes,Yes,Yes,Families/Friends,Safety and Security,No
14,AD_S018,SHAGARI QUARTERS CAMP,ADAMAWA,SONG,SONG GARI,INFORMAL,9.80547,12.6131,No,NULL,Yes,Yes,No,Yes,Yes,No,No,No,Spontaneous,Collective Settlement/Centre,Public/Government,Government building,62,8,11,12,15,9,8,16,21,2,8,110,Yes,Place of origin,House damaged/destroyed,None,None,None,>75%,<50%,<25%,None,<25%,Blankets/Mats,On-site (<10 mn),Hand pumps,>15 ltr,Yes,No,Not so good (Not hygienic),10,Garbage pit,Yes,Yes but no soap/water inside,No,Yes,"Yes, on site",Yes,Irregular,Host community donation,No,Fever,No,Yes,Off-site (<3 km),Local clinic,Yes,Off-site,<25%,Farming,No,Yes,Yes,Mobile phone,Safety and Security,No
14,AD_S022,LABOUR HOUSE,ADAMAWA,YOLA NORTH,GWADABAWA,INFORMAL,9.2636,12.46786,Yes,INGO,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Spontaneous,Collective Settlement/Centre,Public/Government,Government building,30,2,2,3,9,6,16,55,59,0,6,158,Yes,Place of origin,No livelihood,None,None,<75%,<50%,<25%,<50%,<25%,<75%,Kitchen sets,On-site (<10 mn),Piped water supply,5 - 10 ltr,No,Yes,Not so good (Not hygienic),14,Burning,Yes,Yes but no soap/water inside,Yes,Yes,"Yes, on site",No,Irregular,Cash,Yes,Malaria,Yes,Yes,On-site (<3 km),Local clinic,Yes,Off-site,<75%,Petty trade,Yes,No,Yes,Radio/news,Situation in areas of origin,No
14,AD_S008,ST THERESAS CATHEDRAL,ADAMAWA,YOLA NORTH,LUGGERE,INFORMAL,9.27306,12.44666,Yes,Religious entity,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Spontaneous,Collective Settlement/Centre,Private Building,Bunk houses,163,7,11,36,68,75,89,139,199,11,53,688,Yes,Place of origin,House damaged/destroyed,None,None,None,>75%,>75%,<75%,<50%,>75%,Kitchen sets,On-site (<10 mn),Piped water supply,5 - 10 ltr,Yes,No,Good (Hygienic),30,Burning,Yes,Yes,Yes,No,"Yes, on site",No,Everyday,Distribution,Yes,Malaria,Yes,Yes,On-site (<3 km),NGO,Yes,On-site,<75%,Petty trade,Yes,Yes,No,Mobile phone,Situation in areas of origin,No
14,AD_S027,DOKKITILLA WUROCHEKKE,ADAMAWA,YOLA SOUTH,ADARAWO,INFORMAL,9.20922,12.51337,No,NULL,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Spontaneous,Collective Settlement/Centre,Private Building,Host family house,19,3,5,5,8,13,10,10,15,0,0,69,No,Place of origin,Lack of safety,None,None,None,>75%,<75%,<50%,<25%,<25%,Blankets/Mats,On-site (<10 mn),Piped water supply,5 - 10 ltr,Yes,No,Not so good (Not hygienic),0,Burning,No,Yes but no soap/water inside,No,No,"Yes, on site",Yes,Irregular,Cash,No,Cough,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<75%,Farming,Yes,Yes,Yes,Radio/news,Safety and Security,No
14,AD_S003,MALKOHI CAMP,ADAMAWA,YOLA SOUTH,NAMTARI,FORMAL,9.19624,12.38553,Yes,Government,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Spontaneous,Camp,Public/Government,Government building,330,84,74,101,121,125,230,385,467,35,29,1651,No,Place of origin,Lack of safety,None,<25%,<50%,<75%,<75%,<75%,None,<50%,Blankets/Mats,On-site (<10 mn),Piped water supply,10 - 15 ltr,Yes,No,Not so good (Not hygienic),10,Garbage pit,Yes,Yes,No,Yes,"Yes, on site",No,Irregular,Distribution,No,Cough,Yes,Yes,On-site (<3 km),Government,Yes,On-site,>75%,Farming,Yes,No,Yes,Radio/news,Safety and Security,No
14,AD_S004,MALKOHI VILLAGE ,ADAMAWA,YOLA SOUTH,NAMTARI,INFORMAL,9.19288,12.37614,No,NULL,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Spontaneous,Camp,Public/Government,Self-made tents,311,28,33,206,133,270,236,300,317,15,19,1557,No,Place of origin,Lack of safety,None,None,>75%,None,None,<50%,<25%,<50%,Blankets/Mats,On-site (<10 mn),Hand pumps,5 - 10 ltr,Yes,No,Not so good (Not hygienic),7,Burning,Yes,Yes,No,Yes,"Yes, on site",Yes,Irregular,Cash,No,Cough,Yes,Yes,On-site (<3 km),Government,Yes,On-site,<25%,Farming,Yes,Yes,Yes,Radio/news,Safety and Security,No
14,AD_S030,KILBAJE EXTENSION,ADAMAWA,YOLA SOUTH,NAMTARI,INFORMAL,9.25197,12.38249,No,NULL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Spontaneous,Collective Settlement/Centre,Private Building,Community center,25,4,2,12,10,14,13,34,35,1,1,126,No,Place of origin,Lack of safety,None,None,None,>75%,<75%,<50%,None,<50%,Kitchen sets,On-site (<10 mn),Hand pumps,10 - 15 ltr,Yes,No,Good (Hygienic),6,Garbage pit,No,Yes,No,No,"Yes, on site",Yes,Irregular,Cash,No,Malaria,No,Yes,On-site (<3 km),Local clinic,Yes,On-site,<50%,Farming,Yes,No,Yes,Radio/news,Safety and Security,No
14,AD_S029,SABON DEAL NGURORE,ADAMAWA,YOLA SOUTH,NGURORE,INFORMAL,9.28868,12.25093,No,NULL,No,Yes,Yes,Yes,No,No,No,No,Spontaneous,Camp,Private Building,Host family house,121,5,7,20,27,107,155,122,157,2,3,605,No,Place of origin,Lack of safety,None,None,<50%,>75%,<50%,<50%,None,<50%,Kitchen sets,On-site (<10 mn),Hand pumps,5 - 10 ltr,Yes,No,Not so good (Not hygienic),0,Burning,Yes,Yes but no soap/water inside,No,Yes,"Yes, off site",Yes,Irregular,Cash,No,Malaria,No,Yes,On-site (<3 km),Government,Yes,On-site,<50%,Farming,No,Yes,Yes,Radio/news,Safety and Security,No
14,BO_S027,CENTRAL PRI SCH,BORNO,ASKIRA / UBA,LASSA,INFORMAL,10.62398,13.26729,No,NULL,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Spontaneous,Collective Settlement/Centre,Public/Government,School,163,17,14,88,44,208,189,195,219,2,2,978,Yes,Place of origin,Lack of safety,None,None,<25%,>75%,None,<25%,<25%,<25%,Blankets/Mats,Off-site (<10 mn),Hand pumps,10 - 15 ltr,No,Yes,Not so good (Not hygienic),0,Garbage pit,Yes,Yes but no soap/water inside,No,Yes,"Yes, on site",Yes,Irregular,Cash,No,Fever,No,Yes,On-site (<3 km),Government,Yes,On-site,<50%,Farming,Yes,Yes,Yes,Mobile phone,Safety and Security,No
14,BO_S061,MUFA A,BORNO,ASKIRA / UBA,UBA,INFORMAL,11.78871,13.13064,No,NULL,No,No,No,Yes,No,No,No,No,Spontaneous,Collective Settlement/Centre,Private Building,Open lot,18,4,5,9,15,13,18,17,24,2,1,108,Yes,Place of origin,Lack of safety,None,None,None,>75%,None,<25%,<25%,<25%,Blankets/Mats,Off-site (<10 mn),Unprotected well,10 - 15 ltr,No,Yes,Not so good (Not hygienic),0,Garbage pit,Yes,Yes but no soap/water inside,No,Yes,No,No,Never,Cultivated,No,Malaria,No,Yes,Off-site (<3 km),Local clinic,Yes,Off-site,<50%,Farming,Yes,Yes,Yes,Mobile phone,Safety and Security,No
14,BO_S057,GENERAL HOSPITAL BAMA,BORNO,BAMA,KASUGULA,FORMAL,11.53139,13.68721,Yes,Government,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Spontaneous,Camp,Public/Government,Self-made tents,1508,210,347,741,930,1673,2226,2171,2620,97,126,11141,Yes,Place of origin,Lack of safety,<25%,<50%,>75%,<25%,None,<75%,>75%,>75%,Hygiene kits,On-site (<10 mn),Piped water supply,>15 ltr,Yes,No,Good (Hygienic),185,Burning,Yes,Yes,Yes,Yes,"Yes, on site",Yes,Every 2 weeks,Distribution,Yes,Cough,Yes,Yes,On-site (<3 km),INGO,Yes,On-site,>75%,Petty trade,Yes,No,Yes,Radio/news,Safety and Security,No
14,BO_S110,BANKI CAMP,BORNO,BAMA,KUMSHE /NDUGUNO,FORMAL,11.25755,14.15444,Yes,Government,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Spontaneous,Collective Settlement/Centre,Private Building,Host family house,3723,152,170,1689,2064,1685,2326,4229,6613,904,1019,20851,No,Place of origin,Lack of safety,None,<50%,None,>75%,None,<75%,<25%,<75%,Blankets/Mats,Off-site (<10 mn),Piped water supply,>15 ltr,Yes,No,Not so good (Not hygienic),300,Burning,No,Yes,Yes,Yes,"Yes, on site",Yes,Once a week,Distribution,Yes,Malaria,Yes,Yes,On-site (<3 km),INGO,Yes,On-site,>75%,Daily labourer,Yes,Yes,No,Families/Friends,Safety and Security,No
14,BO_S015,GGSS BIU,BORNO,BIU,KENKEN,INFORMAL,10.61525,12.1796,Yes,Local NGO,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Spontaneous,Camp,Public/Government,Tents,364,33,37,232,287,325,360,304,431,26,39,2074,Yes,Place of origin,Lack of safety,None,<50%,<50%,<25%,<25%,<25%,<25%,<25%,Kitchen sets,On-site (<10 mn),Piped water supply,10 - 15 ltr,Yes,No,Not so good (Not hygienic),12,Garbage pit,Yes,Yes,Yes,Yes,"Yes, on site",Yes,Irregular,Distribution,Yes,Malaria,Yes,Yes,On-site (<3 km),NGO,Yes,On-site,<50%,Farming,Yes,Yes,No,Mobile phone,Situation in areas of origin,No
14,BO_S032,VTC CAMP ''B'',BORNO,BIU,KENKEN,INFORMAL,10.61631,12.1726,Yes,Local NGO,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Spontaneous,Camp,Public/Government,Tents,244,26,37,149,164,260,277,240,278,31,46,1508,Yes,Place of origin,Lack of safety,None,<50%,<50%,<25%,<25%,<25%,<25%,<25%,Kitchen sets,On-site (<10 mn),Piped water supply,10 - 15 ltr,Yes,No,Not so good (Not hygienic),10,Garbage pit,Yes,Yes,Yes,Yes,"Yes, on site",Yes,Irregular,Distribution,Yes,Malaria,Yes,Yes,On-site (<3 km),NGO,Yes,On-site,<25%,Farming,Yes,Yes,Yes,Families/Friends,Situation in areas of origin,No
14,BO_S167,RED-BRICKS (IDP) CAMP,BORNO,CHIBOK,CHIBOK GARU,INFORMAL,10.87808,12.85962,No,NULL,No,Yes,Yes,Yes,No,Yes,No,Yes,Planned,Camp,Public/Government,Bunk houses,51,3,6,17,20,68,74,53,59,4,2,306,No,Place of origin,Accessibility,None,None,<25%,<75%,None,None,None,>75%,Kitchen sets,On-site (<10 mn),Unprotected well,Unknown,No,Yes,Not so good (Not hygienic),4,No waste disposal system,Yes,Yes but no soap/water inside,No,Yes,No,Yes,Never,Cultivated,Yes,Fever,Yes,Yes,On-site (<3 km),Government,Yes,Off-site,<25%,Farming,Yes,No,Yes,Radio/news,Situation in areas of origin,Yes
14,BO_S089,GENERAL HOSPITAL DAMBOA,BORNO,DAMBOA,DAMBOA,FORMAL,11.16594,12.76259,Yes,Government,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Spontaneous,Collective Settlement/Centre,Public/Government,Health facility,1148,333,257,873,880,1007,1013,1880,991,92,67,7393,Yes,Place of origin,Lack of safety,None,<50%,<25%,<75%,<50%,<25%,None,<25%,Kitchen sets,On-site (<10 mn),Piped water supply,10 - 15 ltr,Yes,No,Not so good (Not hygienic),21,Garbage pit,Yes,Yes,No,Yes,"Yes, on site",Yes,Irregular,Distribution,Yes,Malnutrition,Yes,Yes,On-site (<3 km),INGO,Yes,On-site,<25%,Farming,Yes,Yes,Yes,Local Leader,Distribution,No
14,BO_S090,CENTRAL PRIMARY SCHOOL DAMBOA,BORNO,DAMBOA,DAMBOA,INFORMAL,11.16132,12.75673,No,NULL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Spontaneous,Collective Settlement/Centre,Public/Government,School,1156,631,178,1054,415,882,635,1035,823,153,93,5899,Yes,Place of origin,Lack of safety,<25%,<50%,<25%,<75%,None,<25%,None,<25%,Kitchen sets,On-site (<10 mn),Piped water supply,>15 ltr,Yes,No,Not so good (Not hygienic),10,Garbage pit,Yes,Yes,No,Yes,"Yes, on site",Yes,Irregular,Distribution,Yes,Malnutrition,Yes,Yes,On-site (<3 km),INGO,Yes,On-site,<25%,Farming,No,Yes,No,Local Leader,Safety and Security,No
14,BO_S134,HAUSARI PRIMARY SCHOOL DAMBOA,BORNO,DAMBOA,DAMBOA,INFORMAL,11.14815,12.75235,Yes,Individual/Private,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Spontaneous,Collective Settlement/Centre,Public/Government,Self-made tents,1226,341,112,825,477,1009,675,1034,778,412,123,5786,Yes,Place of origin,Lack of safety,None,<25%,<50%,<75%,None,<25%,None,<25%,Kitchen sets,On-site (<10 mn),Piped water supply,10 - 15 ltr,Yes,No,Not so good (Not hygienic),10,Burning,Yes,Yes,No,Yes,"Yes, on site",Yes,Irregular,Distribution,Yes,Malnutrition,Yes,Yes,On-site (<3 km),INGO,Yes,On-site,<25%,Farming,No,Yes,No,Local Leader,Situation in areas of origin,No
14,BO_S176,ABORI,BORNO,DAMBOA,DAMBOA,INFORMAL,11.7247,12.93021,No,NULL,No,No,Yes,No,Yes,Yes,No,No,Spontaneous,Camp,Public/Government,Self-made tents,624,28,33,103,98,361,281,771,1117,19,24,2835,Yes,Place of origin,Lack of safety,<25%,None,>75%,None,None,<25%,None,None,Blankets/Mats,Off-site (>10 mn),Piped water supply,5 - 10 ltr,No,Yes,Unknown,0,No waste disposal system,Yes,Yes but no soap/water inside,Yes,No,"Yes, on site",Yes,Irregular,Distribution,No,Diarrhea,No,Yes,On-site (<3 km),INGO,Yes,Off-site,None,None,No,No,No,Radio/news,Situation in areas of origin,Yes
14,BO_S136,ALHAJI MODU FALTAMI CAMP,BORNO,DIKWA,DIKWA,INFORMAL,12.04003,13.91347,Yes,INGO,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Spontaneous,Collective Settlement/Centre,Private Building,Individual house,1500,400,890,500,900,670,1060,900,960,380,840,7500,No,Place of origin,Lack of safety,<25%,None,<50%,<75%,None,<25%,None,<25%,Soap,On-site (<10 mn),Piped water supply,>15 ltr,Yes,No,Not so good (Not hygienic),0,Burning,Yes,Yes but no soap/water inside,No,Yes,"Yes, on site",Yes,Once a week,Distribution,Yes,Cough,Yes,Yes,On-site (<3 km),INGO,Yes,Off-site,<25%,Collecting firewood,No,No,No,Local Leader,Situation in areas of origin,No
14,BO_S137,KAMCHIJIN PRAYER GROUND ,BORNO,DIKWA,DIKWA,INFORMAL,12.003795,13.92155,Yes,INGO,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Spontaneous,Collective Settlement/Centre,Public/Government,Open lot,350,80,95,150,210,210,255,190,245,107,208,1750,No,Place of origin,Lack of safety,<25%,>75%,<50%,None,None,<25%,<50%,<50%,Soap,On-site (<10 mn),Piped water supply,>15 ltr,Yes,No,Not so good (Not hygienic),12,Burning,Yes,Yes but no soap/water inside,Yes,Yes,"Yes, on site",Yes,Every 2 weeks,Distribution,Yes,Fever,Yes,Yes,On-site (<3 km),INGO,Yes,On-site,<25%,Petty trade,Yes,No,No,Local Leader,Distribution,No
